"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"modifications"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"LA1777 LVS01 hydrophilic"	"LA1777 LVS02 hydrophilic"	"LA1777 LVS03 hydrophilic"	"LA1777 TRI01 hydrophilic"	"LA1777 TRI02 hydrophilic"	"LA1777 TRI03 hydrophilic"	"LA4024 LVS01 hydrophilic"	"LA4024 LVS02 hydrophilic"	"LA4024 LVS03 hydrophilic"	"LA4024 TRI01 hydrophilic"	"LA4024 TRI02 hydrophilic"	"LA4024 TRI03 hydrophilic"
"CHEBI:30915"	"C5H6O5"	"OC(=O)CCC(=O)C(O)=O"	"InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)"	"2-ketoglutarate"	"145.01422"	""	""	""	"9.98"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"118487.702265311"	"126950.199210366"	"139330.767822643"	"78880.3405911256"	"95791.0280779489"	"88682.1417736917"	"66014.2919260975"	"95020.2781801155"	"81173.5873258313"	"89993.1164427117"	"102181.990398199"	"93669.5986016957"
"CHEBI:16977"	"C3H7NO2"	"C[C@H](N)C(O)=O"	"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1"	"L-alanine"	"88.04042"	""	""	""	"0.64"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"3487.0451727724"	"3210.7225402482"	"2949.432442022"	"15310.6638896954"	"10031.3529254469"	"13525.4341979311"	"2513.9656072301"	"3857.9437514078"	"3293.6098761274"	"4381.1855495497"	"3370.3294970123"	"5055.3693005584"
"CHEBI:15676"	"C4H6N4O3"	"NC(=O)NC1NC(=O)NC1=O"	"InChI=1S/C4H6N4O3/c5-3(10)6-1-2(9)8-4(11)7-1/h1H,(H3,5,6,10)(H2,7,8,9,11)"	"allantoin "	"157.03672"	""	""	""	"0.64"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"3177.0362415384"	"2533.4317168055"	"2170.0355962452"	"2460.6810339697"	"6039.1045661151"	"3556.7805573631"	"9889.9977647596"	"13928.0028037838"	"15334.1385173482"	"25670.3196085152"	"32370.780784497"	"29718.5033539154"
"CHEBI:16027"	"C10H14N5O7P"	"Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O"	"InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1"	"AMP"	"346.05582"	""	""	""	"8.9"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"0"	"109484.922519714"	"117423.192291204"	"183245.428600277"	"219365.989319262"	"177442.938192729"	"23209.959300541"	"19592.6251625752"	"24960.0114738409"	"43946.4202303925"	"63034.2658954597"	"58394.9460158896"
"CHEBI:16467"	"C6H14N4O2"	"N[C@@H](CCCNC(N)=N)C(O)=O"	"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m0/s1"	"L-arginine"	"173.10442"	""	""	""	"0.47"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"735.0300493065"	"1116.8358130168"	"350.884732283"	"5182.2159858566"	"4703.4442913347"	"5882.9902910171"	"2311.4979757311"	"3653.0700563182"	"3860.4932069975"	"2292.5353755275"	"2561.5028273095"	"3433.7408466729"
"CHEBI:22652"	"C6H8O6"	""	""	"ascorbic acid"	"175.02482"	""	""	""	"2.15"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"409650.93057535"	"428909.161763452"	"528637.857143189"	"540389.234833648"	"656427.204054225"	"547560.618604646"	"1326521.37242805"	"2110054.81969102"	"1884230.31984684"	"30623.1552316821"	"4343.2079187935"	"6749.3390342794"
"CHEBI:17196"	"C4H8N2O3"	"N[C@@H](CC(N)=O)C(O)=O"	"InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)/t2-/m0/s1"	"L-asparagine"	"131.04622"	""	""	""	"0.64"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"3417.4503237506"	"3420.8510050983"	"3257.2986755038"	"14321.0139936464"	"11774.0771417018"	"16774.2425563143"	"13022.6547624164"	"21513.2448024198"	"19237.8768669349"	"10647.6843291262"	"8238.1139691607"	"11314.5075635291"
"CHEBI:17053"	"C4H7NO4"	"N[C@@H](CC(O)=O)C(O)=O"	"InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/t2-/m0/s1"	"L-aspartate"	"132.03022"	""	""	""	"2.08"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"314940.356389177"	"314088.997979328"	"362740.362083963"	"889228.398711594"	"921487.315802789"	"982194.093403932"	"444868.655966055"	"627796.875613019"	"624886.768383407"	"360296.40857918"	"388248.839002808"	"397702.625946394"
"CHEBI:15422"	"C10H16N5O13P3"	"Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O"	"InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1"	"ATP"	"505.98852"	""	""	""	"16.16"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"529462.091906568"	"522142.114600156"	"578795.697918789"	"1420864.16158673"	"1854717.37593148"	"1653360.24477992"	"848395.103333493"	"933190.151280643"	"898827.397275135"	"1060214.35464068"	"943257.717412809"	"921239.553364437"
"CHEBI:15517"	"C25H42N7O17P3S"	"CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12"	"InChI=1S/C25H42N7O17P3S/c1-4-5-16(34)53-9-8-27-15(33)6-7-28-23(37)20(36)25(2,3)11-46-52(43,44)49-51(41,42)45-10-14-19(48-50(38,39)40)18(35)24(47-14)32-13-31-17-21(26)29-12-30-22(17)32/h12-14,18-20,24,35-36H,4-11H2,1-3H3,(H,27,33)(H,28,37)(H,41,42)(H,43,44)(H2,26,29,30)(H2,38,39,40)/t14-,18-,19-,20+,24-/m1/s1"	"butyryl CoA"	"836.14982"	""	""	""	"18.2"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"215.6061558386"	"267.76819021"	"194.4206161228"	"6159.6659422134"	"3444.9955107774"	"5512.734795747"	"219.1413895298"	"90.4091408712"	"89.6492959254"	"1549.6200058131"	"1158.0867571924"	"1460.5724448199"
