"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"modifications"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"LA1777 LVS01 semi-polar"	"LA1777 LVS02 semi-polar"	"LA1777 LVS03 semi-polar"	"LA1777 TRI01 semi-polar"	"LA1777 TRI02 semi-polar"	"LA1777 TRI03 semi-polar"	"LA4024 LVS01 semi-polar"	"LA4024 LVS02 semi-polar"	"LA4024 LVS03 semi-polar"	"LA4024 TRI01 semi-polar"	"LA4024 TRI02 semi-polar"	"LA4024 TRI03 semi-polar"
""	""	""	""	""	"545.3821"	""	""	""	"18.2"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"37.6052738476"	"29.5171907997"	"29.9677598572"	"0"	"0"	"0"	"0"	"4.531132468"	"0"
""	""	""	""	""	"546.1598"	""	""	""	"12.19"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"160.6946758048"	"121.0484469255"
""	""	""	""	""	"546.2549"	""	""	""	"8.42"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"0"	"0"	"13.6445370114"	"106.4577877045"	"52.6952276993"	"46.6157582474"	"0"	"0"	"0"	"422.745472002"	"505.6612239583"	"493.519937156"
""	""	""	""	""	"547.1438"	""	""	""	"6.43"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"124.1162540817"	"109.0888786316"	"252.5702655888"	"16.102647121"	"0"	"8.2918166363"	"0"	"0"	"0"
""	""	""	""	""	"547.2019"	""	""	""	"6.63"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"56.0874199367"	"78.3051027358"	"116.5953480148"	"210.9278949523"	"237.0096286011"	"338.9133646774"	"0"	"0"	"0"	"250.5339939626"	"341.1996289953"	"0"
""	""	""	""	""	"547.2759"	""	""	""	"12.87"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"2613.441297648"	"2667.4677693749"	"2661.8378131944"	"1359.8319308472"	"1473.4153027344"	"1188.9889904785"	"0"	"0"	"0"	"14.9923780235"	"12.9622196762"	"12.5139201013"
""	""	""	""	""	"548.1577"	""	""	""	"12.2"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"72.952149146"	"98.5372914982"	"46.4303067358"
""	""	""	""	""	"548.2334"	""	""	""	"7.97"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"0"	"0"	"29.3907932615"	"0"	"79.8644695663"	"77.0357842636"	"7.9254714978"	"78.4241228306"	"38.5208927965"	"1072.2356144651"	"1331.3080474345"	"1333.1606439018"
""	""	""	""	""	"549.0892"	""	""	""	"5.73"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"0"	"17.2044738245"	"0"	"0"	"0"	"0"	"0"	"4.9410695124"	"0"	"820.9843292745"	"989.7033873574"	"1093.9941231791"
""	""	""	""	""	"549.1934"	""	""	""	"5.29"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"0"	"24.6072787982"	"11.203568126"	"0"	"0"	"2.2947481906"	"28.0614143741"	"13.6983053339"	"11.9669090617"	"0"	"0"	"0"
""	""	""	""	""	"549.1954"	""	""	""	"6.2"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"336.7227599156"	"334.8484699678"	"301.1543943262"	"36.3906712067"	"33.5964249849"	"62.1067975807"	"359.9799378967"	"395.8563640404"	"212.4677913666"	"0"	"0"	"0"
""	""	""	""	""	"549.196"	""	""	""	"8.37"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"0"	"8.2550978982"	"0"	"32.0145531654"	"20.6168531132"	"49.3452404785"	"0"	"0"	"0"	"0"	"0"	"0"
""	""	""	""	""	"549.2339"	""	""	""	"8.37"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"92.8238630772"	"69.7274754429"	"44.0646367788"	"240.6928426075"	"327.167429018"	"337.1368925095"	"0"	"0"	"8.6384431779"	"144.4376842308"	"117.4255695152"	"277.857627538"
""	""	""	""	""	"549.2342"	""	""	""	"9.18"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"50.9550728047"	"60.1379509068"	"24.9930146408"	"589.2075544739"	"719.0215087891"	"945.8539666748"	"8.576583885"	"0"	"0"	"0"	"0"	"0"
""	""	""	""	""	"549.3051"	""	""	""	"11.83"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"5.2432074213"	"152.8041761017"	"172.6011223984"	"0"	"0"	"0"	"7.3474360768"	"0"	"0"
""	""	""	""	""	"549.3411"	""	""	""	"9.09"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"395.4898588852"	"363.2306720559"	"415.4463773171"
""	""	""	""	""	"550.1899"	""	""	""	"7.52"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"14.3372755313"	"6.0786244327"	"0"	"0"	"25.978333168"	"29.4307527733"	"0"	"0"	"0"	"0"	"0"	"0"
""	""	""	""	""	"550.2495"	""	""	""	"7.8"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"328.8114019775"	"431.5505898285"	"372.4410577393"	"918.7155770493"	"735.5874133778"	"743.2357746124"	"0"	"0"	"0"	"149.7966675003"	"82.6693918626"	"24.2027439197"
""	""	""	""	""	"550.3128"	""	""	""	"11.81"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"86.5759254456"	"72.1429262161"	"105.18204422"	"0"	"0"	"0"	"220.9389654549"	"318.3411496878"	"266.2209304349"
""	""	""	""	""	"550.3856"	""	""	""	"19.14"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"290.8672821045"	"224.1073427105"	"419.9025185633"	"0"	"0"	"0"	"29.392355183"	"14.8613742805"	"0"
""	""	""	""	""	"551.2124"	""	""	""	"7.46"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"387.9855148101"	"429.7932190371"	"477.7823174286"	"0"	"0"	"9.7878352344"	"0"	"10.38832189"	"0"
"unknown"	""	""	""	"insource fragment  of 597.23"	"551.2325"	""	""	""	"8.47"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"27902.8"	"19550.2"	"25547.5"	"10020.4"	"9958.9"	"9371.6"	"0"	"0"	"0"	"190.3"	"90.1"	"131.7"
""	""	""	""	""	"551.2343"	""	""	""	"16.95"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"18.3886736369"	"13.9831514764"	"16.1882174146"	"28.0894184685"	"129.9734121037"	"69.1141360831"	"0"	"0"	"0"	"0"	"0"	"0"
""	""	""	""	""	"551.2346"	""	""	""	"9.53"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"3180.7877124024"	"3080.0370718384"	"2479.0942858887"	"4379.1189925385"	"4126.7498239756"	"4162.919627018"	"7.269071548"	"0"	"0"	"78.4948396778"	"88.5132790661"	"55.2713587475"
""	""	""	""	""	"551.2347"	""	""	""	"11.55"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"466.7873837376"	"448.8655950499"	"372.8183536911"	"2431.3232061768"	"2463.1261087036"	"2371.9416873932"	"0"	"0"	"0"	"22.9090296729"	"0"	"3.9503071316"
""	""	""	""	""	"551.2478"	""	""	""	"6.01"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"243.2338557625"	"213.4128810692"	"291.6103405762"	"10.2268502569"	"12.7872419357"	"9.9719273329"	"10.7112352669"	"0"	"0"	"0"	"0"	"0"
""	""	""	""	""	"551.3583"	""	""	""	"10.09"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"92.5910621325"	"70.9960055542"	"85.3269150766"
""	""	""	""	""	"552.1901"	""	""	""	"12.86"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"1390.4846907044"	"1580.2253121948"	"1315.8950317383"	"390.1150820923"	"256.5045314026"	"589.6250237083"	"0"	"0"	"0"	"26.5114993827"	"0"	"0"
""	""	""	""	""	"552.2273"	""	""	""	"14.23"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"14972.8081066895"	"14163.9848034668"	"11207.1771557617"	"8740.1482519531"	"8538.6324707031"	"7726.6031787109"	"0"	"0"	"0"	"0"	"0"	"0"
""	""	""	""	""	"552.2307"	""	""	""	"16.93"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"79.1962273788"	"36.9659443569"	"49.158899436"	"530.7008167267"	"266.3975530243"	"382.9958753586"	"0"	"0"	"0"	"22.8176445556"	"0"	"0"
""	""	""	""	""	"552.2308"	""	""	""	"12.51"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"70.3082046509"	"52.6254562759"	"40.5996751595"	"0"	"0"	"0"	"20.4973411028"	"55.9378406064"	"44.7151236073"
""	""	""	""	""	"552.2315"	""	""	""	"15.32"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"1659.9065404129"	"1697.1704740334"	"1099.7871952438"	"4317.4261685181"	"3850.0094432068"	"4384.0127029419"	"0"	"0"	"0"	"104.5535292498"	"28.8188288371"	"0"
""	""	""	""	""	"552.3163"	""	""	""	"11.78"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"8.6839700258"	"5.0177281125"	"0"
""	""	""	""	""	"552.3295"	""	""	""	"12.56"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"5.0487919402"	"6.6721149588"	"7.468377142"	"0"	"0"	"0"	"411.4470366287"	"401.5131157843"	"400.5493543116"
""	""	""	""	""	"553.138"	""	""	""	"5.81"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"0"	"0"	"16.2205492869"	"0"	"0"	"0"	"0"	"0"	"0"	"792.2010345459"	"326.3405009015"	"927.8305825551"
""	""	""	""	""	"553.2775"	""	""	""	"13.87"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"35.1225747395"	"0"	"17.1556813025"	"2532.9092316437"	"2254.8160788918"	"1804.7130445099"	"57.8416877556"	"39.4136086559"	"0"	"0"	"0"	"0"
""	""	""	""	""	"553.2779"	""	""	""	"9.78"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"18.8990778279"	"0"	"0"	"1412.2800615692"	"1191.0133739281"	"978.2027752876"	"0"	"0"	"0"	"44.3381929318"	"26.3520752001"	"37.0863708766"
""	""	""	""	""	"553.2838"	""	""	""	"13.07"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4964.9655583064"	"4277.2780295054"	"3733.9725140381"
""	""	""	""	""	"553.3509"	""	""	""	"16.97"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"1450.1174717712"	"0"	"0"	"0"	"38.9510809739"	"33.2238652345"	"29.5017708238"
""	""	""	""	""	"554.1878"	""	""	""	"6.24"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"0"	"10.0431244993"	"47.3866995263"	"0"	"0"	"0"	"19.8026402676"	"0"	"0"	"0"	"0"	"0"
""	""	""	""	""	"554.213"	""	""	""	"6.57"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"441.0528957987"	"546.0669853163"	"366.2135800982"	"64.5528232574"	"35.1376532507"	"36.85815341"	"180.8494618797"	"102.2223729229"	"73.0504114199"	"0"	"0"	"0"
""	""	""	""	""	"554.2781"	""	""	""	"7.67"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"0"	"7.7792812574"	"6.2768143249"	"0"	"0"	"0"	"78.9788506699"	"57.8507076669"	"43.1164478111"	"0"	"0"	"0"
""	""	""	""	""	"554.3451"	""	""	""	"13.93"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"7.3578060579"	"0"	"93.9383216604"	"209.2720706113"	"334.446076355"
""	""	""	""	""	"555.1895"	""	""	""	"12.84"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"84.1914596558"	"0"	"116.8579306793"	"0"	"0"	"0"	"0"	"0"	"0"
""	""	""	""	""	"555.2239"	""	""	""	"8.87"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"24.7300910264"	"0"	"0"	"140.5147404861"	"121.0658636379"	"90.9855991364"	"0"	"0"	"0"	"71.8927297401"	"3.1434665118"	"0"
""	""	""	""	""	"555.2282"	""	""	""	"10.54"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"406.6589850235"	"445.869087863"	"425.3779002762"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
""	""	""	""	""	"555.2292"	""	""	""	"7.21"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"302.0683845305"	"371.0320848501"	"354.3473197961"	"82.7717479229"	"59.213414402"	"50.8444794321"	"17.7404406023"	"38.9285779595"	"0"	"0"	"0"	"24.4454824281"
